"Enzyme","sample","Vmax","Vmax_se","Km","Km_se","max_pre_decrease_S","Sinhibition","INHbetter_aov_pvalue"
"NAG","2",3436.96056663447,114.89359462234,98.1377392972105,11.0020988546206,500,TRUE,0.000191165633081907
"NAG","3",3610.3858535343,269.493363816103,143.811032241637,34.4722511886703,500,TRUE,0.0169133470601509
"NAG","4",1090.06445449341,49.505964357122,109.46388892452,16.4844217667172,500,TRUE,0.000564936755857316
"NAG","6",5106.00442833132,225.650865899401,103.188317612272,15.2147249045737,500,TRUE,1.30328788888391e-05
"NAG","7",2645.73408140175,91.8042747461165,114.760099130675,13.1372978853869,500,TRUE,0.000832413249498473
"NAG","8",4662.45390226965,225.967214253551,105.184022400411,16.9744346498843,500,TRUE,4.73386359199974e-08
"NAG","9",905.988951112597,78.1604592918726,24.2266830473107,8.52046207884204,100,TRUE,4.26142937527819e-19
"NAG","10",81.0044579683035,6.09848326858308,26.6011139250459,8.02584128593379,500,TRUE,6.85486164008157e-05
"NAG","11",125.425985630813,6.67261295427079,23.3674228785859,5.10203045359057,500,TRUE,1.04709986208064e-07
"NAG","12",8950.53978103303,325.555382447749,175.231330436326,19.8641739922087,500,TRUE,1.81528333342746e-08
"NAG","13",18243.9743438538,729.700462025473,150.387035098959,19.1978070738766,500,TRUE,1.78274134863871e-14
"NAG","14",189.841911850668,14.7975969429161,49.6490406048833,14.0311700287747,500,TRUE,5.38754850716552e-09
"NAG","15",2512.68563660993,86.5717579756003,150.379201500165,16.5365571618102,500,TRUE,1.0971514916352e-11
"NAG","16",2668.64996533426,133.973313477745,114.662184376344,18.9926512216472,500,TRUE,1.68911741521451e-13
"NAG","17",3913.42269329626,170.931399796342,105.355196310841,15.3201207127868,500,TRUE,1.10190809088421e-12
"NAG","18",6542.57735333412,217.344203818521,155.567457582474,16.4140318866585,500,TRUE,1.25202767159103e-10
"NAG","19",3356.28517563944,115.8997860626,163.528209595399,17.8001004661347,500,TRUE,5.54984158283078e-19
"NAG","20",5540.46511690724,203.790842465456,165.841364828052,19.1854661066875,500,TRUE,3.00463451422622e-12
"NAG","21",3369.0806266477,108.918296967602,171.499127843106,17.3426501791742,500,TRUE,2.99724948984211e-14
"NAG","22",2240.55603456273,66.6754280220161,158.68285420221,14.9539050865394,500,TRUE,1.08683491938367e-12
"NAG","23",14113.6816618069,435.014396301316,166.412006890422,16.1231673782021,500,TRUE,6.99595865695658e-17
"NAG","24",26449.9071201017,809.396417045708,162.71049042137,15.7072024690246,500,TRUE,5.874164737656e-15
"NAG","25",6588.65569843792,221.916202826811,154.765367079002,16.5688545264513,500,TRUE,4.74265403558341e-20
"NAG","26",6035.88147595239,275.344475725948,165.694119606178,23.7763590296713,500,TRUE,8.95406073666851e-06
"NAG","27",7446.07168175748,236.214246524207,147.591829663087,14.9828240022122,500,TRUE,3.69671190172938e-08
"NAG","28",10061.0117654648,386.743073318234,112.219024230586,14.265766976798,500,TRUE,2.29595547866013e-16
"NAG","29",5547.36782901211,306.699707400455,65.8616355932417,12.7400582939569,500,TRUE,4.29362566867224e-20
"NAG","30",3231.97827444952,133.828964961981,98.8617014470992,13.7183303069151,500,TRUE,1.11701057630038e-15
"NAG","31",233.232256835879,9.34283812742051,99.2000394072624,13.3119457474271,500,TRUE,6.64066839730226e-11
"NAG","32",3629.57648050109,163.578030283845,71.9320312972184,11.2302034716659,500,TRUE,8.81275080440403e-18
"NAG","33",2514.02184158599,118.318990106861,86.3040973415126,13.8018183489535,500,TRUE,1.49749399359194e-15
"NAG","34",10709.706191473,321.054350143091,114.28568776119,11.3080172836848,500,TRUE,1.90154551381776e-15
"NAG","35",5501.33585233607,252.641879613934,112.005870544862,17.0143044618606,500,TRUE,2.04324623229299e-12
"NAG","36",8062.59700479834,316.317108253659,93.0587410641737,12.3105773921723,500,TRUE,1.35699478811363e-12
"NAG","37",3821.6813035282,169.180829951485,105.336095569667,15.5247008424872,500,TRUE,4.72014877091753e-14
"NAG","38",16279.1535703618,603.131361779775,169.128471668834,19.645351424076,500,TRUE,5.10211749719509e-16
"NAG","39",22057.6208816959,791.800731625697,160.552249655996,18.2186120384189,500,TRUE,7.55346956562202e-15
"NAG","40",14500.7819500734,580.97284292075,127.172108293958,16.6159140675009,500,TRUE,2.4871741254237e-13
"NAG","41",6214.07008171902,248.455819268611,107.205067158798,14.2442515260123,500,TRUE,2.65621156897977e-13
"NAG","42",4758.68352252103,168.820663778484,114.746418271523,13.4301843584481,500,TRUE,6.86201523917822e-11
"NAG","43",5764.94407018988,199.348084572077,121.574441302302,13.7810364773954,500,TRUE,2.16802953021975e-17
"NAG","44",915.09048621419,38.939592383325,86.7997060115722,12.5432369711375,500,TRUE,3.73388385364947e-12
"NAG","45",3122.52811782772,162.613444538597,108.653779510345,18.7773041995336,500,TRUE,1.30538256197765e-19
"NAG","46",18823.648449588,841.746200449139,162.587489966029,22.9383287734272,500,TRUE,2.67011839886421e-12
"NAG","47",30030.5043207225,937.19820933774,181.214441005138,17.5222070238336,500,TRUE,4.23151792858769e-16
"NAG","48",4940.51807127546,190.394692953404,100.647477359226,12.974157043045,500,TRUE,1.11549263917727e-12
"NAG","49",25114.8282996657,869.344594636293,172.875411827874,18.692925687357,500,TRUE,3.97334371904914e-12
"NAG","50",17051.0800304612,631.444823936749,163.048284331258,19.0416885056338,500,TRUE,4.98662978648814e-13
"NAG","51",7997.64753427715,238.655679184138,169.629832929013,15.8622151262612,500,TRUE,2.83999220897605e-19
"NAG","52",10594.8418266138,351.574882593656,191.934802375178,19.5236852491303,500,TRUE,1.60392139395141e-13
"NAG","53",7310.68884004076,259.942063516721,202.028916334669,21.7960817888347,500,TRUE,1.11581807002151e-23
"NAG","54",19643.9931305835,540.168237750576,208.584370678008,17.2868281396261,1000,FALSE,2.76114004091381e-14
"NAG","55",326.60651656417,11.4171380145393,70.0900506758565,8.51203676088371,500,TRUE,1.05149766002023e-07
"NAG","56",18359.2737494041,982.887617836759,129.122597736035,22.502751319049,500,TRUE,2.76222338795797e-10
"NAG","57",19990.8884064155,842.849930331842,127.06037601503,17.4719397771238,500,TRUE,7.74031624505008e-08
"NAG","58",16418.9712074708,667.128357084811,122.800290165895,16.3376786967079,500,TRUE,1.36085249302597e-14
"NAG","59",149.135630539202,11.023117630645,24.8180431708148,7.44494703001835,500,TRUE,1.27372309304151e-11
"NAG","60",61.3558399288499,5.13341295580324,31.419516843218,10.2308308777419,500,TRUE,2.49688847884649e-10
"NAG","61",398.979174541943,30.7716505030254,23.883592744206,7.52930341598602,500,TRUE,2.80578127004199e-17
"NAG","62",92.9800548951246,5.22796991393282,36.0148060725672,7.7038884318325,500,TRUE,2.83423627432844e-08
"NAG","63",1638.3267255055,65.3192483090066,111.296926926282,14.6877365754299,500,TRUE,1.68670334666251e-09
"NAG","64",1177.01971300364,35.7764104963352,140.975004884946,13.7969120621932,500,TRUE,1.64280404644018e-10
"NAG","65",11668.3252615062,422.090252227758,140.569144895375,16.3786074304048,500,TRUE,3.27267832142451e-10
"NAG","66",24218.8900309841,834.682716219191,139.648693591882,15.5154602315021,500,TRUE,5.30125335656454e-15
"NAG","67",1112.04670745582,41.7070852343895,88.7181961255449,11.2743247892682,500,TRUE,5.77565538207441e-17
"NAG","68",3252.80770890334,117.45408838953,113.013463081287,13.4852370263194,500,TRUE,3.45986221009279e-09
"NAG","69",263.933029842435,19.7018616920112,26.5258854568115,7.93932090629465,500,TRUE,1.35448221896555e-19
"NAG","70",1268.87778114041,107.715264109423,24.5361159811984,8.47127844114707,500,TRUE,1.76094524058008e-13
"NAG","71",861.531101484868,56.7781954578295,32.4080603422461,8.26869996627965,500,TRUE,3.02751031663711e-24
"NAG","72",672.50589832844,46.0987830367244,30.4968439367409,8.17776800771273,500,TRUE,2.44414905882435e-10
"NAG","73",204.048229783225,10.9673093027555,51.7501565848382,10.0281979003475,500,TRUE,9.261591836051e-16
"NAG","74",156.894052797551,9.47081758516151,114.979304914283,22.8933320055004,500,TRUE,5.54347161020014e-12
"NAG","75",2374.42874967829,141.631359362035,48.4295493716569,10.5096348379636,500,TRUE,1.85073407374286e-18
