"Enzyme","sample","Vmax","Vmax_se","Km","Km_se","max_pre_decrease_S","Sinhibition","INHbetter_aov_pvalue"
"BG","2",3547.83639235596,132.832557411066,136.699510089235,16.5445007674484,500,TRUE,0.0076703527421203
"BG","3",3080.25113631416,136.37813913167,190.703020690746,25.9142255550974,1000,FALSE,0.875827014359345
"BG","4",1091.35993351541,43.6983576027235,175.245906970916,21.8686459233452,1000,FALSE,0.436650434710444
"BG","6",4963.15654249491,181.215877075472,136.889825991501,16.1539524607626,500,TRUE,0.0113986638954001
"BG","7",2317.73483426621,44.71646411907,128.150262315228,8.05560961707508,500,TRUE,7.89828328735486e-13
"BG","8",3959.9855636629,80.7503988377237,137.170502799469,9.03791863116014,1000,FALSE,0.0899373663027316
"BG","9",1128.92653820233,34.9728373277365,24.9796763689848,3.13692830268595,500,TRUE,0.00701297722392725
"BG","10",401.113276593779,13.3830106246023,20.9974688493641,2.93411724580802,500,TRUE,0.00151456359574292
"BG","11",341.569532091567,15.6688639573803,8.73533973091308,2.03346181126428,100,TRUE,2.04439054398167e-12
"BG","12",11854.7635650731,345.924109259376,47.0913333343469,5.01896475288983,500,TRUE,3.1873674273112e-14
"BG","13",25250.3496977499,862.745915394024,39.3923451655419,5.04814765368452,500,TRUE,1.96419253107005e-07
"BG","14",225.02558962643,8.15747819849771,18.8312348223311,2.92025466829109,500,TRUE,8.13344712871677e-09
"BG","15",1938.52414190076,67.6337079038875,30.1376624185377,4.1217260928844,500,TRUE,1.91854945352103e-12
"BG","16",2642.24458431382,67.405788549197,37.0505122496425,3.57949565637722,1000,FALSE,0.559537939439767
"BG","17",3623.45917326788,140.455566191132,29.0581298103478,4.44351724290895,500,TRUE,1.11422849125793e-07
"BG","18",9372.14175531911,300.2719453692,35.0373289553282,4.28982611494107,500,TRUE,2.18559338056231e-07
"BG","19",2515.45948587091,68.9044802106906,37.4611302551971,3.87927535374988,500,TRUE,8.0876313218117e-16
"BG","20",4508.61525438834,115.175400971241,32.6341686149696,3.22368713723068,500,TRUE,2.73457263030853e-13
"BG","21",2568.95188412551,77.7855496585185,36.4279978528919,4.18854675901782,500,TRUE,1.45120965047368e-08
"BG","22",2742.56658076708,84.2117163098691,29.3014887485032,3.54415960026967,500,TRUE,4.52607409416365e-14
"BG","23",12745.2938193909,562.972591393042,29.1640333607486,5.07868459133155,500,TRUE,4.42857677188212e-20
"BG","24",31789.430649761,1529.50682718524,32.2220013932427,6.00783399019313,500,TRUE,1.37321692460578e-23
"BG","25",5699.78581162952,156.430539406086,31.0626800668644,3.32439853915001,500,TRUE,8.90684222183132e-20
"BG","26",7528.51010644446,251.584390719035,41.2116450579942,5.12960660746029,500,TRUE,3.59844808847193e-10
"BG","27",10089.9718160588,447.656431155191,30.8850700712528,5.34863100657793,500,TRUE,9.01708368070147e-13
