"Enzyme","sample","Vmax","Vmax_se","Km","Km_se","Ki","Ki_se","Rmax","SRmax","SRmax05","SRmax05highS","max_pre_decrease_S","Sinhibition","INHbetter_aov_pvalue"
"AP","2",10715.2142770307,1139.35567389744,106.802719459909,20.7104691994042,10312.3547761175,13638.1852786098,8903.1072883124,1049.4701206441,76.4090656894591,14437.9357124845,500,TRUE,0.443818246086184
"AP","3",5257.65662977663,474.036880065204,81.7727489442556,14.5503887088505,1e+07,10061757997.6437,5227.7581037565,28595.934841207,82.9365046899693,10114395.7937322,1000,FALSE,1
"AP","4",3917.2971988196,241.583032166281,47.2709263017726,6.6099991104611,1e+07,7296983565.33198,3900.33706820776,21741.8780931576,47.8369154964963,10086953.6522718,1000,FALSE,1
"AP","6",6222.25870356556,672.370198848461,148.611703277589,28.2766346174199,1e+07,11252718512.8141,6174.65190460643,38550.1884920929,146.505366806634,10154118.2609966,1000,FALSE,1
"AP","7",3933.83686290677,509.886137121969,134.612967930747,31.2264150831605,1e+07,13670940188.798,3905.18092648407,36689.6399451871,135.765244321624,10146774.0234839,1000,FALSE,1
"AP","8",8158.35499687155,1015.63061918375,116.501294167059,26.6238984300293,1e+07,13363046510.6369,8103.03994166034,34132.2859133488,116.06137824321,10136493.2847236,1000,FALSE,1
"AP","9",4406.33592301553,58.082931673422,8.38409623391932,0.419866927075171,75668.2986143148,115356.239433725,4315.48471196735,796.498774286162,8.12510000771963,78847.7154914133,500,TRUE,0.513518311089372
"AP","10",792.643942361829,16.9684051176774,6.3323168563488,0.569957550168964,1e+07,3336998221.50985,791.384440476486,7957.5855988791,6.36670514961824,10037400.9691558,1000,FALSE,1
"AP","11",2160.30139941512,60.6475382620914,9.09163031918567,0.946136183486853,1e+07,4172588882.83366,2156.18954418617,9535.00410025379,9.5359576960234,10044750.5169175,500,TRUE,1
"AP","12",17276.8563705733,495.24778833522,96.4734358891508,5.1647396786116,12087.7406649879,5030.71867795555,14657.8754790831,1079.88234270609,71.3873615890315,16345.0898089226,1000,FALSE,0.0190333408254934
"AP","13",42345.8738753824,2086.2861173026,93.1038503371716,8.48355947113477,6057.01304199551,2367.40746690964,33932.0306938235,750.953550995164,62.7108925973559,9003.26464599197,500,TRUE,0.00920723766914616
"AP","14",967.455446405069,51.9574437044071,8.00892304327366,1.66325254485285,1e+07,8122280335.86112,965.726938373194,8949.25865268943,8.05513830125061,10039020.7764487,500,TRUE,1
"AP","15",5291.34068316599,337.953741294664,84.9134708757189,10.1205871198219,4395.30250554473,1728.87542249787,4140.37249176483,610.917663269403,55.0491863792111,6787.28369246376,500,TRUE,0.00716115525200531
"AP","16",4629.112055507,196.480754719567,80.8290338471551,6.59424340741794,7607.65109324177,3158.19421121078,3837.91638065438,784.16776758101,57.5636705074969,10694.0694042373,500,TRUE,0.0156318397311402
"AP","17",17549.4564871898,625.50661051144,65.1829369710843,4.69402725612923,6832.84120126149,2219.55750847172,14681.5322311939,667.371453806092,47.1211367523853,9461.28623918059,500,TRUE,0.00251587722030728
"AP","18",20928.9431995933,1002.65552969947,110.596039476646,9.24877601604704,3534.61228072002,858.027291163027,15459.6747099628,625.231252684277,65.5307883601482,5971.91226294881,500,TRUE,5.32066127273411e-05
"AP","19",5666.71665511982,268.601952298836,55.8789510171763,5.66536882775421,16388.7406385627,15820.8956632348,5074.14093552552,956.966893562912,45.4604734915875,20172.9585795337,500,TRUE,0.300851145199484
"AP","20",9372.64307120713,434.746910596953,73.7061531358822,6.7025268516523,7003.3051154772,2985.67635715095,7776.97959689144,718.46132762917,52.5966288453398,9826.70938347628,500,TRUE,0.0172906597626086
"AP","21",5744.21954815988,203.519370440771,80.9843218234984,5.61006281557711,20327.4063293558,17276.8601276304,5100.36108351235,1283.04373113841,64.928505646168,25406.0210979169,1000,FALSE,0.242856656050177
