"Enzyme","sample","Vmax.boot","Vmax.boot.SE","Vmax.boot.median","Vmax.boot.CIlow","Vmax.boot.CIhigh","Km.boot","Km.boot.SE","Km.boot.median","Km.boot.CIlow","Km.boot.CIhigh","Ki.boot","Ki.boot.SE","Ki.boot.median","Ki.boot.CIlow","Ki.boot.CIhigh","Rmax.boot.mean","Rmax.boot.SE","Rmax.boot.median","Rmax.boot.CIlow","Rmax.boot.CIhigh","SRmax05.boot.mean","SRmax05.boot.SE","SRmax05.boot.median","SRmax05.boot.CIlow","SRmax05.boot.CIhigh"
"BG","2",5261.09327386167,792.894391956501,5154.26117522661,4050.39255667833,7402.14500668016,245.2775026087,54.3046110990605,238.970662158703,159.614665677287,381.15612780761,2395.59465848653,1576.35577593288,2000.15861012689,855.47589820965,6220.16464277353,3062.52121351341,69.8905713900496,3054.53064815437,2933.63311897544,3234.05264603076,102.877664199711,6.90724344311697,102.847748605834,89.8155531121494,116.842744822007
"BG","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BG","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BG","6",7228.90147211312,1104.82796450428,7022.40102550818,5674.51160645311,9968.79985508221,239.38302957128,54.2911258683393,230.355162170066,159.419078215799,373.347801042848,392.274924012028,71718.4465699064,2158.20685024007,906.091248061847,6989.87477142292,NA,NA,NA,4116.81024012851,4516.97541949696,NA,NA,NA,89.3772660341208,118.485076129227
"BG","7",3221.44415474506,78.0695168116896,3218.3027108008,3084.23133706076,3390.63679206332,209.265839828038,7.77541750247601,208.882057407655,194.747539933977,225.392632528135,2303.82109114208,195.170834022627,2296.15335840038,1935.47520498102,2705.41925479643,2007.41779588646,7.65225912656789,2006.76630356883,1993.50808938956,2024.24616409978,96.5828121331139,1.13459494019313,96.6472436288665,94.3609647473234,98.864241332181
"BG","8",4503.89886267812,311.00684035166,4479.69451300116,3978.38522460666,5202.57309239444,167.424317780742,19.7723978700004,165.753691470572,134.789962305803,213.917409488855,6919604.889254,128629542.335208,6979.70153882794,2929.82975870663,93029.8598336516,3451.48064915352,98.2275531561166,3430.47097250087,3325.03719079755,3734.48987029626,105.276348846929,7.31336656158304,104.341799874909,94.2094350110231,124.390947371534
"BG","9",1367.50091350653,96.0731810000418,1363.90080146702,1187.89169205429,1558.4464229719,37.9744976350834,6.15711390017527,37.5973763683569,26.6142725774639,50.6722117514312,4051.11772680636,3155.84811067697,3407.95246139132,1789.89128044821,9912.61054935138,1126.77062615902,31.1979596896101,1126.87459827823,1065.02867865142,1184.52820528622,26.6791965901857,2.54505785435715,26.5224987999782,21.5405699713337,31.7194749161902
"BG","10",502.428014514837,33.5399563142362,500.837963561906,440.812808987516,575.156991912491,34.8809472346213,5.58075693689934,34.3848176210786,25.4232397989315,47.4468916484535,2975.25636161957,1087.62256206769,2729.02129959862,1580.42434730555,5663.91021166894,409.026838880615,11.6456337123807,409.224394457942,385.467474860248,430.603914387086,24.0235201970767,2.34739696023648,23.8803001423124,19.727875618536,28.8971699201091
"BG","11",482.679718211708,14.763339315954,481.979370782896,456.104236966466,513.741400277785,20.0881004667387,1.66643658577227,19.9313943763517,17.1221353486305,23.7768515694391,1217.60753509308,122.600772839174,1207.75225448816,998.582602123982,1489.33155390372,383.602725677042,5.82760527851413,383.655553062465,372.119947868389,395.28156415693,13.3379910359922,0.767061246519121,13.3134327295903,11.9603151507651,15.0087179720265
"BG","12",18170.6971317346,558.711504665563,18133.6808529673,17140.114864173,19263.0094359218,97.684631522299,5.0278782860972,97.5933272494881,88.1844486729251,107.806561359263,1440.27885084036,125.020537476726,1431.11440204064,1224.68191315475,1713.97316021365,11931.5014075074,104.775767737006,11922.4380387744,11749.3818667806,12159.7516983666,48.5591488543161,1.01780066730197,48.577772203475,46.483580330192,50.597171509855
