"Enzyme","sample","RMSE","RMSEp1","RMSEp2","MAPE","MAPEp1","MAPEp2","biasPERCENT","biasPERCENTp1","biasPERCENTp2","biasMEANRES","biasMEANRESp1","biasMEANRESp2","Rsquared","PRSEmax","PRSE_Vmax","PRSE_Km","PRSE_Ki","RMSEp1pdS","MAPEp1pdS","biasPERCENTp1pdS","biasMEANRESp1pdS","Sinhibition","INHbetter_aov_pvalue"
"BG","69",10.2175381901514,9.7232268868014,11.3595972906026,4.08084898522592,3.95599326372039,4.39298828898975,-0.356959319209562,-0.629661983225892,0.324797340831262,-0.311208291323124,-0.285596987023742,-0.388042204221269,0.989679114170614,9.58238292377541,2.34569870131669,7.47790034190997,9.58238292377541,NA,NA,NA,NA,TRUE,1.47873309450665e-12
"BG","70",68.1429838189913,38.5107335780389,112.001965836975,4.87950696657037,3.87109813787893,7.40052903829896,-0.45798355585754,-0.693070554944663,0.129733941860267,-1.90412723595283,2.05563599437564,-13.7834169269382,0.978166601771148,16.2601435441231,3.66900561288829,11.2735431767933,16.2601435441231,NA,NA,NA,NA,TRUE,3.40002713476171e-08
"BG","71",50.1142559564503,55.9743226819408,30.9390251298435,5.44606423059791,6.40311258971375,3.05344333280829,-1.13388445610416,-1.7818233447691,0.485962765558181,-2.40918121718921,-4.07833636997275,2.59828424116142,0.975834618811644,17.4929988207929,4.37081563791017,12.3875412685083,17.4929988207929,NA,NA,NA,NA,TRUE,1.20314615062203e-07
"BG","72",118.28440129297,126.961669847913,93.1183898910468,9.15076674653132,9.09154608491132,9.2988184005813,-0.971831578004793,-2.08556605904984,1.81250462460782,-4.02003596707207,-7.17933210584744,5.45785244925404,0.923269601696405,25.8920207013052,9.7524274386954,23.7590742087197,25.8920207013052,NA,NA,NA,NA,TRUE,1.34962619130679e-06
"BG","73",9.18647722504735,6.72853695958154,13.4976571774868,4.95202240996554,4.14237513521561,6.97614059684036,-0.968694282279148,-1.92850752050423,1.43083881328355,-0.465702806846877,-0.623644097550425,0.0081210652637651,0.990575497815241,9.77835001423304,4.7199317318889,9.55065235316923,9.77835001423304,NA,NA,NA,NA,TRUE,6.63696080381339e-16
"BG","74",4.7338243338276,4.95586043468017,3.08226116294478,8.00950086336982,8.77564013829803,3.41266521380058,-2.42485483235615,-3.27138822682709,2.65434553446949,-0.307951109305542,-0.606643293383783,1.78289417924214,0.982259451175648,20.0903977704322,8.08335785007624,15.3623852563852,20.0903977704322,NA,NA,NA,NA,TRUE,1.6566584714107e-08
"BG","75",50.7606478677201,53.9711945387877,46.1336617662204,4.60017469064616,4.68770420776038,4.4834686678272,0.512740101926351,-0.551878899323803,1.93223210359322,0.404260241682522,-9.09197513986525,16.2313192109288,0.978171013826775,19.1323336297969,4.03312814044295,11.8722753802689,19.1323336297969,NA,NA,NA,NA,TRUE,1.02647272018736e-06
"BG","76",31.3318365612753,24.8858650721526,43.4468438103987,2.63061475086396,2.31108090003655,3.42944937793248,0.552959928222221,0.578434996928313,0.489272256456991,0.811411906369833,-1.42599501624278,7.52363267420769,0.995582947445411,8.36249962812641,2.47044827695255,6.00981880587372,8.36249962812641,NA,NA,NA,NA,TRUE,6.40628997718832e-14
"BG","77",6.08141008482508,4.50322921682211,8.87382311753181,3.8810419274632,3.42054871168936,5.03227496689779,0.803333265657719,0.806841021607026,0.794563875784454,0.19622713078707,0.488054013377311,-0.679253516983655,0.993326621314005,7.38689062923611,3.02834242291179,7.06983298690733,7.38689062923611,NA,NA,NA,NA,TRUE,1.93486127467844e-17
"BG","78",59.4048850269781,48.8282848441465,79.9424028641054,4.26946046546811,3.91522330304579,5.15505337152391,-0.49913013236165,-1.07491410169217,0.940329790964651,-0.775821756136342,-4.65415091380739,10.8591657168768,0.986937420761035,17.4078654171145,5.80138566430756,12.108201268586,17.4078654171145,NA,NA,NA,NA,TRUE,2.08331299387721e-08
"BG","79",22.4327886249649,21.6044114279506,26.8720389914403,3.09839507429867,3.0065581653543,3.64941652796485,0.0793521021234679,0.0564850451958036,0.216554443689454,0.0191853494682803,-0.0408320337890857,0.439307032269843,0.994902921911832,10.571416024476,2.80472379747539,6.70657345637788,10.571416024476,NA,NA,NA,NA,TRUE,1.08767530960079e-11
"BG","80",250.347230566686,250.347230566686,NA,4.16361149943071,4.16361149943071,NA,-0.951544639742174,-0.951544639742174,NA,-2.52468364055504,-2.52468364055504,NA,0.997116336150679,34.7684862853425,5.90621608364419,9.43501042872553,34.7684862853425,NA,NA,NA,NA,FALSE,0.00257829800066337
"BG","81",160.306696720091,155.499704718602,186.565565117777,4.96552837957304,5.14642403865404,3.88015442508705,0.580045125997019,0.620482758181627,0.337419332889373,-1.61769891990876,-2.79991863239647,6.65783906750524,0.992625342497271,27.6327693932541,9.93516432819571,14.828942285489,27.6327693932541,NA,NA,NA,NA,TRUE,1.55809642565968e-05
"BG","82",30.2712183514474,31.8463684540023,18.146060760358,2.3442822247548,2.63490019055857,0.600574429932177,0.35703237892405,0.414678360388276,0.0111564901386897,0.311714507075144,0.331570852278848,0.172720090649212,0.999243400968445,9.52266992529135,2.0001115838864,3.62719203996753,9.52266992529135,NA,NA,NA,NA,TRUE,9.75751568231799e-12
"BG","83",116.902173126024,109.467675842601,154.155098017626,3.14885516553837,3.24648156006997,2.56309679834879,1.64204279916856,2.08565036493081,-1.01960259540492,9.55146951885501,19.5359282838211,-60.3397418359079,0.99744413217953,15.7374216871361,2.75753406799927,5.8296679593677,15.7374216871361,NA,NA,NA,NA,TRUE,1.2755876441351e-07
"BG","84",5.55915098970589,5.03948819566496,7.99690380328264,14.1118611415561,11.8666881897721,27.5828988522602,0.882401354215515,-3.56768156212527,27.5828988522602,-0.117826058216029,-1.25192241617723,7.82084844751235,0.940286279803955,26.3079196409728,12.5881177043455,25.1614057934061,26.3079196409728,NA,NA,NA,NA,TRUE,3.1626695076014e-08
"BG","85",19.1748311987471,20.1229971257815,12.0045399977615,5.57309388368579,6.13850410028407,2.18063258409611,-3.25250110228446,-4.15802338334789,2.18063258409611,-2.44765748906097,-4.48085157649472,11.7847011229753,0.993704431155987,17.6580526360451,4.34516682506419,9.0063638731987,17.6580526360451,NA,NA,NA,NA,TRUE,1.58944090440506e-07
