"Enzyme","sample","Vmax","Vmax_se","Km","Km_se","max_pre_decrease_S","Sinhibition","INHbetter_aov_pvalue"
"AP","2",9863.23481516817,294.369773834205,92.3945100606627,9.30487838672051,500,TRUE,0.443818246086184
"AP","3",5257.18787589596,144.284256144989,81.7587395646082,7.66743760924225,1000,FALSE,1
"AP","4",3916.97665807509,84.3325394657897,47.2625192497753,3.71469806518099,1000,FALSE,1
"AP","6",6221.66638613592,188.605100673808,148.587910742939,14.4005209747826,1000,FALSE,1
"AP","7",3933.46424755559,144.308037391515,134.590952078645,15.9927482237547,1000,FALSE,1
"AP","8",8157.59527255652,292.093617798328,116.482009870616,13.7376100010593,1000,FALSE,1
"AP","9",4374.91137900918,32.9511417495287,8.20776033016524,0.318918847864552,500,TRUE,0.513518311089372
"AP","10",792.603313879778,10.0467605978098,6.33124512498511,0.446475814906344,1000,FALSE,1
"AP","11",2160.17990111116,33.7980826050812,9.09008952381165,0.714364083169034,500,TRUE,1
"AP","12",16125.9090334418,150.115623841069,85.6663190690071,2.71183109389713,1000,FALSE,0.0190333408254934
"AP","13",37138.5813435018,595.658022991885,73.923524769239,4.09500173232775,500,TRUE,0.00920723766914616
"AP","14",967.40243752378,29.641994402989,8.00755583348232,1.27426817333509,500,TRUE,1
"AP","15",4446.12534443023,93.1522065644337,61.8126350833532,4.56505295112535,500,TRUE,0.00716115525200531
"AP","16",4169.49276938748,58.938294841366,66.8936876929438,3.30244244735762,500,TRUE,0.0156318397311402
"AP","17",15690.258040709,212.288031568419,52.6936916565341,2.56420814288575,500,TRUE,0.00251587722030728
"AP","18",16878.5486979549,305.129144514305,76.7998215779938,4.77555885889678,500,TRUE,5.32066127273411e-05
"AP","19",5397.31225256867,85.7042937407055,50.6933635541861,2.9102287607231,500,TRUE,0.300851145199484
"AP","20",8381.93872472481,131.342367967833,59.9057721544117,3.32150670859346,500,TRUE,0.0172906597626086
"AP","21",5512.59994957238,60.2732781705027,75.1957690399917,2.83439250796072,1000,FALSE,0.242856656050177
"AP","22",2223.11684979891,32.0855773065168,70.6316539340974,3.53850178935688,500,TRUE,0.0759424799871008
"AP","23",18834.2361420741,179.58167611474,41.4110928716661,1.46960874998089,500,TRUE,0.00180748693929656
