"Enzyme","sample","Vmax.boot","Vmax.boot.SE","Vmax.boot.median","Vmax.boot.CIlow","Vmax.boot.CIhigh","Km.boot","Km.boot.SE","Km.boot.median","Km.boot.CIlow","Km.boot.CIhigh","Ki.boot","Ki.boot.SE","Ki.boot.median","Ki.boot.CIlow","Ki.boot.CIhigh","Rmax.boot.mean","Rmax.boot.SE","Rmax.boot.median","Rmax.boot.CIlow","Rmax.boot.CIhigh","SRmax05.boot.mean","SRmax05.boot.SE","SRmax05.boot.median","SRmax05.boot.CIlow","SRmax05.boot.CIhigh"
"AP","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP","3",5263.90123327211,128.404900505583,5270.23244254268,4994.35574876119,5504.19558998739,82.139522471243,7.13182119743436,81.1212148507833,69.9568707280545,97.3937885723473,9999708.9072916,1080.44515037431,1e+07,9998155.53355538,1e+07,5233.90598318576,126.770647468726,5240.14724591534,4966.11063458814,5470.00766866123,82.6648161401228,7.06805952449995,82.9365046899693,71.4969868016977,97.2359020503088
"AP","4",3919.20155921199,78.5748088651388,3917.76900870119,3767.37188229671,4066.31820122309,47.4167216735155,3.49084801930473,47.2927718310884,41.0007306977082,54.9580486255831,9999295.21730348,8036.59648456736,9999992.29182377,9998113.54786198,1e+07,3902.20938209638,77.8054145269169,3900.67049999864,3751.99435777448,4047.9357079613,48.086972100228,3.5252222158927,47.8369154964963,41.3136997469741,56.5345364958593
"AP","6",6232.9473552714,171.7422445011,6240.85597489841,5894.97106174682,6556.96565423589,149.110964766519,13.379575507953,148.384477438125,126.095939087571,178.994763103952,9998713.35229631,18933.636294864,1e+07,9998529.08774966,1e+07,6185.17634497327,168.696636588512,6192.31552233217,5852.43945078714,6503.72149434656,148.714513521902,13.0709951713463,146.505366806634,127.228344858392,177.34860192382
"AP","7",3941.60612090433,134.215422525073,3945.41713581067,3674.75039662298,4183.55115213451,135.671665289778,14.8195064515746,134.315538178597,110.553593506823,168.160636366815,9999419.59059718,12080.843760944,9999969.24376254,9998902.81186133,1e+07,3912.78231331485,132.025658402999,3916.91007200023,3650.48517714004,4149.51755081588,135.52673781133,14.571700619548,135.765244321624,110.079927828344,168.789222670128
"AP","8",8170.19962080775,263.890384507574,8169.20521002966,7664.99904235935,8684.97409410428,117.866815439307,13.0036613533453,116.514249135151,95.4792996983407,147.127690993964,9995872.773118,55139.7806347857,9999963.71728789,9996577.20115815,1e+07,8114.47881139651,259.752063981643,8114.29774647319,7617.19350947438,8620.28296125596,118.00369954381,12.8048966264321,116.06137824321,95.5799585532318,146.783507778177
"AP","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP","10",793.987895703987,10.7345748903186,793.462948732773,774.627694421205,816.934589213985,6.38171782727062,0.434562784237761,6.37253837115365,5.55829637885905,7.24729515466451,9540731.15620961,2091849.39717322,9999998.0332534,18533.4301858806,1e+07,791.366310151558,9.54206784073573,791.386707721207,772.749941723399,809.870225401153,6.73438237200869,0.475451126786922,6.36670514961824,5.57086700591596,7.16254329332052
"AP","11",2162.81195394571,34.983324404879,2158.86369968037,2107.29712441257,2242.12257638762,9.12897222593764,0.722923070097354,9.16063461743583,7.66067068996453,10.4787870521282,9610281.48593589,1931848.36081855,9999989.22027542,26317.1330603047,1e+07,2155.36544176858,34.1045398515841,2152.1631387056,2099.33380438534,2235.27659396376,9.53309690871459,0.739631767179375,9.5359576960234,8.58236192642106,10.4895534656257
"AP","12",17262.2632746666,449.812009688358,17270.5798980266,16325.87064371,18133.4729687109,96.3337225892201,4.64885967286853,96.3715660044872,87.0593063416503,105.704827186917,16213.7659379818,17119.5200316395,12373.9857675202,6710.67820630907,47206.1538837288,14709.0186912436,173.560881070343,14689.2434322318,14425.0707840809,15106.0934708953,71.9021929849391,2.09360105177198,71.7113586915536,68.1473905638107,76.4633161952107
