"Enzyme","sample","Vmax.boot","Vmax.boot.SE","Vmax.boot.median","Vmax.boot.CIlow","Vmax.boot.CIhigh","Km.boot","Km.boot.SE","Km.boot.median","Km.boot.CIlow","Km.boot.CIhigh"
"NAG","2",3443.38944378039,114.098316905195,3423.79905034909,3273.06539683771,3727.52705941237,98.8175891358097,10.519959885868,98.8589984219851,78.9723846783863,120.884491649372
"NAG","3",3638.29158830222,260.510540500598,3627.00394331435,3154.34137143113,4166.23044747316,150.069789179467,36.8423061971796,145.232503481246,93.0423411987405,231.741267204156
"NAG","4",1092.74745720523,47.6072147600317,1087.57622952587,1012.0319867821,1191.63360511599,110.904639659437,16.0035074517523,110.864426234195,80.5932243856444,142.352222668546
"NAG","6",5101.96399188982,223.042168449546,5068.64830227873,4746.61926816153,5652.89111840776,103.339023025074,14.7007558717913,102.182613029317,75.8967422267752,135.453205955067
"NAG","7",2650.96319830273,89.390176560919,2647.72818737316,2459.86920299816,2825.24615689557,116.06501388842,13.040391743784,115.08373149319,92.6514177827815,144.877921102605
"NAG","8",4661.33436326106,210.040085554744,4634.55637290136,4303.29510793516,5129.08435385749,106.326845442441,16.0866564532227,105.813574641801,76.0391696599571,137.912650102426
"NAG","9",907.168452823857,73.486173038218,904.336269932738,763.809162086254,1051.54138811042,25.3375913243416,8.5942860310383,24.2793925800816,11.2663239939201,44.4350990681156
"NAG","10",81.2223759918389,5.70845327997774,81.329710506256,69.4889637943654,92.1709678205415,27.704123539202,8.54938186706027,26.6141095159826,14.8172458645386,47.3997216239478
"NAG","11",125.658163102479,6.26424609727509,125.361578938742,114.239517758593,138.493373661771,23.7926691390709,4.88798561682371,23.4526117113769,15.429466680926,34.1437071585604
"NAG","12",8952.99901474841,314.71049578254,8935.2982367593,8420.66116972729,9685.77586411634,176.020382702575,19.5250619259553,175.8811968391,140.35703510761,217.572581640112
"NAG","13",18274.1195692661,711.74671033569,18212.2868507126,17045.4607135192,19769.363463194,151.276873136497,18.8137125842495,149.849989322678,118.336739189606,191.842467396085
"NAG","14",189.426256473955,14.3086849741963,189.301062357931,160.934854522223,218.915017721136,50.5213146817223,13.660230214609,48.6806714195249,28.3574507588543,82.2707503602765
"NAG","15",2516.62742510352,82.4847584555305,2512.45467253188,2370.50800859851,2686.3161555891,151.114038751946,15.8618157698755,150.554251265521,121.502204158183,184.827498452288
"NAG","16",2671.62765131124,128.92042677346,2659.4013518818,2449.73755011486,2945.44551378521,116.506376302568,18.6628749092884,115.260698744577,83.9236472085003,155.192229674825
"NAG","17",3928.5458569872,170.905649876654,3921.141333427,3613.24676049303,4295.55060111002,106.821014201722,15.3458547339208,106.368169760735,80.2736691931237,139.893720367617
"NAG","18",6554.10522830753,220.678070875816,6531.63893411615,6183.53619677911,7019.96035407839,156.682094436589,16.3116783412185,156.695112008192,125.611796292513,189.892819766667
"NAG","19",3367.36576551297,112.111537986537,3360.81923181272,3178.9348465167,3613.04147819408,165.480876156244,16.6442121226081,165.48938937874,133.580881361183,199.415268640811
"NAG","20",5546.34370494593,191.297321133159,5536.02643144453,5223.29631619915,5953.15026132638,167.334460341421,18.3469687946389,166.869352372431,132.909749343513,206.187650697903
"NAG","21",3369.19718190145,104.876852393269,3359.21872531901,3184.17586185067,3595.59003426638,171.732217226989,16.518768838397,171.609427955018,139.467721427133,205.179286318821
"NAG","22",2241.48100458837,61.7083676470843,2237.88742378106,2133.2991859958,2378.92798652983,159.251271396454,13.5363165752565,159.529929358379,132.255659067848,184.13169972987
"NAG","23",14123.8670874188,435.004235486954,14100.915276137,13357.48330312,15074.8212296505,166.954093487519,15.567736740406,166.880048216518,137.995590578844,198.226195754246
"NAG","24",26436.3089698471,781.192945341116,26357.5308310914,25020.2284847073,28044.0459391912,162.495659289761,14.8650433610072,162.283858178136,133.422677625875,192.373668878126
"NAG","25",6594.43681780534,223.756965270387,6578.25227659795,6195.87038543125,7108.09055940528,155.687404126178,16.4858715353673,155.741845648681,124.261217542296,187.470708502355
"NAG","26",6058.16019679475,263.833070918961,6031.80920405589,5593.60809970409,6674.53490032578,168.371714203044,23.0706251232707,167.497864833489,127.452587409986,218.117754159208
"NAG","27",7460.37333187097,217.092574691368,7440.92173586712,7074.41550866644,7946.00963921729,148.971320968321,13.7471020794737,148.79094966548,122.734559177815,177.227391887284
"NAG","28",10077.1671483585,379.56900755332,10053.1912531825,9401.29435510305,10915.2603689523,112.974983353998,13.7304057191455,112.625610769833,87.6873788454156,141.774317761261
"NAG","29",5559.1583534046,296.450296609665,5548.12895471907,5032.45822946388,6208.55729781575,67.1568826330082,12.2673888247721,66.7707827291508,45.6592383193359,94.0794999563271
"NAG","30",3232.28345703621,133.957710520017,3219.99383691758,2991.28090792481,3504.22898274903,99.1539775086795,13.7333123747847,97.5916978701396,75.4493226934711,129.842677019964
"NAG","31",233.175823042031,9.24752594673812,233.168402654019,215.202473789256,251.367928940004,99.5503423845242,13.1093118756373,99.3301737211505,75.6336426362018,126.073157930298
"NAG","32",3631.61475538411,157.176929315512,3623.99683651132,3341.82685859616,3979.6434324437,72.6126049568798,11.0909560418808,71.7118367001984,53.2368417928237,96.2532688504083
"NAG","33",2518.07888108732,109.083883539217,2511.84283443742,2322.75301778869,2756.45563152833,86.9725605733241,13.4864562114918,85.8530419908504,63.9289098813105,117.029620545472
