"Enzyme","sample","Vmax","Vmax_se","Km","Km_se","Ki","Ki_se","Rmax","SRmax","SRmax05","SRmax05highS","max_pre_decrease_S","Sinhibition","INHbetter_aov_pvalue"
"BG","2",5165.5488286393,800.065515598222,237.982886133117,55.2307390823323,1986.93725698937,963.292058195434,3052.62385487613,687.646030297382,102.05687658379,4637.69624033522,500,TRUE,0.0076703527421203
"BG","3",3159.08862932143,518.185090087462,198.227524479402,54.4810903776746,37670.621937594,239930.365974193,2758.83417293517,2732.6459946888,154.136647765225,48459.1518503737,1000,FALSE,0.875827014359345
"BG","4",1226.37433479952,193.2233414338,209.071760212149,53.5602587324475,7666.31245759035,10637.135641286,921.890750603123,1266.02110560793,127.247845898187,12610.9876632594,1000,FALSE,0.436650434710444
"BG","6",7016.83996375877,1049.88005407215,228.83306698576,51.9010644822448,2191.44097302647,1096.99804625205,4262.22512549267,708.148401802832,101.912746294057,4924.53447593371,500,TRUE,0.0113986638954001
"BG","7",3216.57419235013,83.4713263555326,208.692045790238,8.32755319245149,2299.52306530696,208.320473307053,2007.21040796906,692.742501107553,96.5086812724093,4976.57334518989,500,TRUE,7.89828328735486e-13
"BG","8",4475.36311484361,334.062521253811,165.885457797953,20.736830865467,7002.78438025908,4397.89145973323,3421.99874868081,1077.80336461696,103.695053181469,11220.6595801761,1000,FALSE,0.0899373663027316
"BG","9",1359.59646922028,99.712086479432,37.4044207683858,6.33060087511375,3433.64696349581,1406.7228739677,1124.80116818987,358.376304731057,26.5583400145728,4840.80559292154,500,TRUE,0.00701297722392725
"BG","10",498.629461105822,35.9644220638084,34.1937734669984,5.79554875623356,2786.92340246657,977.509413075092,408.199309273886,308.699574819627,23.8648636199191,4000.17526625688,500,TRUE,0.00151456359574292
"BG","11",482.258133717925,15.5521705019442,20.009804351922,1.7021706729643,1208.65641529323,127.108336436881,383.555597701501,155.515203111184,13.3134327295903,1817.88048738041,100,TRUE,2.04439054398167e-12
"BG","12",18146.3355123006,573.111190708705,97.4204510374704,5.22488648760831,1435.22465629667,127.651237809001,11929.9894840405,373.925438231367,48.5403759200235,2884.21670711393,500,TRUE,3.1873674273112e-14
"BG","13",38337.7275045636,2813.49775763874,82.9848624479209,10.751292656511,1433.39679278877,300.514315831793,25882.4849229318,344.89162889648,42.9433021278245,2770.52491559313,500,TRUE,1.96419253107005e-07
"BG","14",317.317322052489,15.5579459462145,39.5342993720275,4.23660366144614,1577.78932746208,255.676508402522,241.015156166693,249.753469681356,24.453310012806,2552.69579973841,500,TRUE,8.13344712871677e-09
"BG","15",3016.30777668753,124.518998890807,69.2850716520522,5.25408752426574,1275.99337104978,143.754087088151,2057.44892061344,297.333637755178,36.427013326342,2430.07562873819,500,TRUE,1.91854945352103e-12
"BG","16",2742.04555210088,191.037857130911,39.9640667508752,6.55185204568591,19825.9722933097,34958.4623560489,2516.11351575035,890.127226934908,34.006260694983,23361.3734490176,1000,FALSE,0.559537939439767
"BG","17",5562.05692247116,416.413274392211,65.4106906866278,9.15292019334747,1309.64138693664,273.122685409708,3843.93438870683,292.685065678655,35.0379061523502,2447.63846033024,500,TRUE,1.11422849125793e-07
"BG","18",13524.2223129533,858.746306585065,69.8802910570505,8.26911691868348,1669.61637750871,336.935157059592,9597.32719925559,341.574704001814,38.9434105972665,2999.80736355837,500,TRUE,2.18559338056231e-07
"BG","19",3624.39745180475,79.7883947461826,73.2737042053507,2.96989431220631,1680.67447864026,117.473817493236,2556.71069719391,350.92626663356,40.4658451273622,3046.8775935685,500,TRUE,8.0876313218117e-16
"BG","20",6139.00828495589,149.992272219613,58.9019670060174,2.83860216373309,1991.21489134065,175.7620220794,4567.7753725984,342.471128464339,35.2780540372306,3325.86285435042,500,TRUE,2.73457263030853e-13
"BG","21",3684.72804091396,195.284704052475,71.041532756651,6.99346377220791,1699.40985934743,288.81548817666,2615.28770115118,347.460330382917,39.6144391075633,3051.49662845514,500,TRUE,1.45120965047368e-08
"BG","22",3964.1902294876,109.928933952769,59.1564599958162,3.18735892840886,1565.53584103438,135.299929216605,2854.44873593668,304.321472052444,33.6917561318187,2751.68400784996,500,TRUE,4.52607409416365e-14
