"Enzyme","sample","Vmax.boot","Vmax.boot.SE","Vmax.boot.median","Vmax.boot.CIlow","Vmax.boot.CIhigh","Km.boot","Km.boot.SE","Km.boot.median","Km.boot.CIlow","Km.boot.CIhigh"
"AP","2",9865.9637074711,281.846105574978,9855.39667362552,9354.31582515577,10501.252752073,92.7962497213985,8.89927903849832,93.0550171889617,75.7055661446139,109.812505742198
"AP","3",5261.87863051976,128.906846900772,5265.88840140892,4986.18259621013,5501.90776467063,82.2786147052425,7.06274652178815,81.4895460485559,70.0787995490387,96.9282032553422
"AP","4",3917.10662835205,77.8443196511148,3918.56514484965,3767.66182046422,4060.84414951209,47.4390073713122,3.4592991003901,47.2836748277064,41.2760071639493,54.4438502466007
"AP","6",6224.37749102023,171.756688976088,6231.65217615688,5881.42220311508,6534.42368059611,148.950092080609,12.9123350827446,147.777275598383,126.864767000963,175.801865056824
"AP","7",3936.77206034408,134.508717901709,3943.74175761224,3674.41430529507,4180.1290066846,135.429400212622,14.9459342965486,133.891383413759,109.524461456297,168.824028390751
"AP","8",8167.55521530895,271.326992255382,8176.74211715527,7626.20620758955,8681.86550531541,117.617467230744,13.0470862566672,116.593198179658,94.670171452323,145.177729523324
"AP","9",4375.0262480222,32.2946148428598,4377.57744521519,4309.67117864559,4431.72185493465,8.19964644131129,0.314531559412425,8.17969246065264,7.62088281286104,8.87128409324081
"AP","10",792.827685275257,9.8752807014512,792.715458821292,773.824824714153,812.745913684885,6.35079935556663,0.418102870581438,6.35170332505492,5.5435145994782,7.19839631597176
"AP","11",2159.55429083996,32.3512995449083,2154.48515336649,2107.27325612486,2235.73074022775,9.10349155571854,0.706496918232124,9.14410717698953,7.68980884144947,10.4866945019072
"AP","12",16121.0279292378,144.01251497492,16118.8392906794,15845.3042876179,16409.7434760032,85.6087851909005,2.61233865637577,85.6652115706001,80.5749847910245,90.4704027693592
"AP","13",37115.8163414944,580.773432096807,37113.7075609011,35997.1036498108,38233.0381490199,73.828751494785,4.02166039658375,73.6743418987759,66.2684642369776,82.0539271834867
"AP","14",969.249380688849,27.8483193584927,968.50290343537,911.275132561222,1028.03076052578,8.11982064242524,1.17088907721508,8.0531121930698,6.04177266013025,10.5939727340809
"AP","15",4448.55966531641,89.8617295344943,4450.14662651739,4274.45989433805,4627.15329269062,61.9754415869742,4.39996997697015,61.7269423632866,53.5452345728524,70.7804977192735
"AP","16",4170.00790454025,54.240523832381,4168.61815863605,4061.62122833463,4273.19621738024,67.0518488067666,3.09673402301634,66.9724232637621,60.8812392700807,73.1648322563788
"AP","17",15685.9721550231,211.054660682602,15691.6430655196,15279.0879590276,16092.9521322549,52.6465849103586,2.43928240770936,52.5772471055581,48.0452015508006,57.4114189678211
"AP","18",16881.7185321288,284.855066692621,16860.8035687959,16303.278507534,17468.1609852439,76.8781076405993,4.49101229990496,76.9951621978954,68.6914970593423,85.8620246335847
"AP","19",5398.07924824784,82.0248930096403,5393.06764003485,5244.73943195128,5577.24136133146,50.7743296372916,2.75169281397154,50.6625072004456,45.7694127166883,56.4194486128165
