"Enzyme","sample","RMSE","RMSEp1","RMSEp2","MAPE","MAPEp1","MAPEp2","biasPERCENT","biasPERCENTp1","biasPERCENTp2","biasMEANRES","biasMEANRESp1","biasMEANRESp2","Rsquared","PRSEmax","PRSE_Vmax","PRSE_Km","RMSEp1pdS","MAPEp1pdS","biasPERCENTp1pdS","biasMEANRESp1pdS","Sinhibition","INHbetter_aov_pvalue"
"BG","49",1817.68180627016,1580.7031680745,2852.37357450849,15.646152705296,16.303371749675,11.7028384390217,9.9179945374112,9.62052055380946,11.7028384390217,202.821512641681,-172.12860962298,2827.47236849431,0.972846481356684,11.2822293950135,3.04672260792494,11.2822293950135,1048.93466227559,10.4904491677216,7.23685010830746,157.62157493494,TRUE,9.26456291087525e-13
"BG","50",1335.49132901249,1117.33819246436,2234.74647578549,16.9056256772396,17.5449245714792,13.0698323118017,11.2685971537529,10.9683912940781,13.0698323118017,150.928810202225,-146.188663946283,2230.75112924178,0.971450332790904,11.6936446434283,3.21764028198288,11.6936446434283,563.137404147037,10.1522417656523,7.70141030754519,108.233999113131,TRUE,4.56386195975453e-18
"BG","51",604.123779228691,497.149569806562,1035.28383347457,13.5960447472688,13.6425284193052,13.31714271505,8.32034355313069,7.4875436928108,13.31714271505,56.2717476620767,-83.0114610717177,1031.25420879864,0.971076538866115,11.5910137083299,3.16629313227219,11.5910137083299,224.477718527798,6.47618751253556,4.4872560142588,32.8493771403117,TRUE,6.15011294813535e-15
"BG","52",647.371514800716,549.778342132867,1058.34389229467,12.669322769108,13.2102243638217,9.42391320082572,8.32900026721853,8.146514778284,9.42391320082572,75.2908818695482,-61.7010422053948,1034.23435039415,0.982470181708413,9.09702062028015,2.51620366332078,9.09702062028015,312.443232462201,7.887847167346,5.72798911585267,53.5316539601836,TRUE,5.34304293734714e-14
"BG","53",229.293185830865,209.78649832031,322.436515013867,9.5883705641877,10.373067745083,4.88018747881599,6.57523810465541,6.85774654229531,4.88018747881599,34.5020068878528,-5.39600798237852,313.788110979472,0.993083029709138,5.7567224390779,1.59731306232634,5.7567224390779,158.145799334085,7.65390608497858,5.54283102378918,29.0575389758239,TRUE,8.69059229856787e-10
"BG","54",1058.68458687807,889.859404084792,1759.14548210872,12.4806053910693,12.9051441431467,9.93337287860471,8.25926801031108,7.98025053226215,9.93337287860471,113.514944353619,-114.961399357656,1712.84935033254,0.981114722624074,9.47129282930396,2.64739203234543,9.47129282930396,452.492512679036,7.16162844495347,5.13529347096381,71.1413570732042,TRUE,2.23880812201721e-11
"BG","55",36.4727241026621,28.9570085335243,65.4275719022095,9.72873099467033,8.94722290097998,14.4177795568124,4.19809648391608,2.49481597176669,14.4177795568124,2.08279644191791,-6.89307769154521,64.9139153761598,0.967908136421534,11.7501624288057,3.01688512306515,11.7501624288057,13.3661302026786,4.4785965336671,0.760019113486737,0.534629625213406,TRUE,5.07068811880377e-12
"BG","56",438.238809061411,382.412723817234,683.327028844208,10.3373992376446,11.0282298786987,6.19241539132035,7.28078457797065,7.46217944241237,6.19241539132035,55.2316606244724,-33.3420727809982,675.247794462767,0.991236548843452,6.88345817328038,2.03531565724997,6.88345817328038,176.610624132589,5.79592512893184,4.45586582005694,32.2147534427676,TRUE,9.58382773366613e-14
"BG","57",374.950597704299,335.047816889909,557.291142416165,9.98826307920989,10.8995226308884,4.52070576913871,7.32096563639356,7.90047667666619,3.84389939475781,56.0536621035086,5.14800141025202,412.393286956304,0.99356383693014,5.70831570493474,1.64104397030862,5.70831570493474,273.386942428684,8.69060432242414,6.47681350646332,48.1552255048731,TRUE,3.00887153992935e-05
"BG","58",332.183247218255,268.880197893117,581.928348865217,8.57756775914579,9.26010928452273,4.48231860688415,6.18702612975118,6.47114405022901,4.48231860688415,43.9015747574033,-14.4664848507484,452.477992014465,0.994232071667384,5.5019904615359,1.61439095438827,5.5019904615359,149.732226389877,5.77741414491926,4.47249635130258,29.8436448699164,TRUE,9.7836582587434e-08
"BG","59",68.0408816375556,59.8765215751213,85.0909567416865,27.3238534481651,25.4601587911975,31.9830900905843,12.969811495646,5.50613718751731,31.6289972659678,2.59294380832445,-17.6174382774106,63.2240900655296,0.752697432702521,36.9833121810326,7.3834252402192,36.9833121810326,10.5492115215563,3.99081938365395,1.40639797342087,0.632998637219519,TRUE,2.74955002006591e-18
"BG","60",26.9678104661271,22.5474466545845,35.6994597728874,26.0643644072947,19.3083574676372,42.9543817564386,11.0744876658384,-1.17053925777588,41.6870549748741,0.542953039671936,-8.04467605532713,26.3058403246691,0.695445810433843,43.0754486047579,7.75601563650583,43.0754486047579,4.55215052047123,4.70570720115523,-1.02570645641658,-0.24050364734479,TRUE,4.62059819905098e-14
"BG","61",203.853160540302,182.277991036829,249.766338158068,35.6260526603657,30.7146946610867,47.9044476585631,18.4203327855804,6.62668683638735,47.9044476585631,6.74541848258392,-58.3931088188175,202.161000386788,0.652712814712797,47.6031506066987,9.21339372955258,47.6031506066987,20.6456053479142,3.85817401726058,1.72683358428646,1.73655755661851,TRUE,1.20088338553021e-22
"BG","62",11.2638781490573,7.72899838645326,17.1673756935749,17.8295270125759,13.9701924046921,27.4778635322854,7.94693493672156,4.14534855931806,17.4509008802303,0.38961176127033,-1.47848086787187,5.99388964869694,0.847861262097126,26.7395436679608,5.86742572452787,26.7395436679608,2.84495800992059,6.71181755543996,-2.01769515928158,-0.269080737916398,TRUE,1.07321944388367e-07
"BG","63",158.36340737882,124.614737106477,287.018789196303,20.0574326930877,19.1842929042346,25.2962714262061,11.0501057360813,8.67574478772718,25.2962714262061,12.7138754285202,-26.1275881228689,284.604120288244,0.925805592217345,18.5844172914788,4.5151330389632,18.5844172914788,71.192527133154,11.1703031584929,7.12639051402491,10.0431588715907,TRUE,8.71940402005674e-17
"BG","64",124.402089617331,104.226525490605,207.73095006052,15.9672237230196,15.8605134465461,16.6074853818609,9.47112041842896,8.28172625785697,16.6074853818609,11.0973945406435,-16.3768012614971,203.416765155628,0.954670417913549,14.3802681188343,3.66351770234128,14.3802681188343,68.7669087756006,9.73953375053658,6.3218615019754,8.23937844394265,TRUE,1.94968557017477e-10
