"Enzyme","sample","Vmax.boot","Vmax.boot.SE","Vmax.boot.median","Vmax.boot.CIlow","Vmax.boot.CIhigh","Km.boot","Km.boot.SE","Km.boot.median","Km.boot.CIlow","Km.boot.CIhigh"
"BG","2",3553.17171505337,133.80239159812,3546.47996504259,3302.43054410037,3824.38652986654,137.783281384628,17.0195422441562,137.155976366481,106.862330733092,173.961308660707
"BG","3",3090.48671948867,128.880162860167,3083.01845815434,2847.22790778087,3357.53159398132,193.72757302196,25.8056872630914,191.677680830718,147.682286290713,249.404266664916
"BG","4",1091.57602686133,40.2877517754842,1089.64356937889,1018.60821761073,1172.86085722364,175.576877794843,20.602521830566,174.627404383385,139.580989343743,217.798986567161
"BG","6",4962.07413797959,171.90816593933,4943.80524166254,4665.90019154339,5345.87742974265,137.657872297226,15.472762224394,137.775389176932,108.907574077816,171.281408038588
"BG","7",2316.80342066063,43.6209551300119,2314.96120700905,2234.76141397348,2405.77287820936,128.32191601863,8.02625182407502,128.490634599285,113.44083540178,142.740784494701
"BG","8",3961.149944954,78.5394911154097,3959.71944955716,3806.98607797234,4118.77860045407,137.317506812473,8.69580301106517,136.763026872282,122.241674272857,157.421333150273
"BG","9",1129.84536481603,32.3174201788151,1130.35359805769,1066.0487560649,1193.04017716432,25.1077079627347,2.99836211941693,25.0572851176828,19.6338411393108,31.607936538151
"BG","10",401.630772663511,12.415034121783,401.790747766534,375.982017969293,424.582951734244,21.195075455016,2.76705038263354,21.1019239679502,16.0177119773546,26.8457846846476
"BG","11",341.664407020839,15.0670313548815,341.465687912404,313.553118793875,371.708429712266,8.92848249408514,2.00233951595115,8.79797649052436,5.46895416890851,13.3296287028856
"BG","12",11860.0300618136,330.522265746929,11837.5644792755,11268.4547240984,12566.3572434356,47.4684211480128,4.71644278489754,47.2649108553725,38.7818259280901,56.9935341758749
"BG","13",25300.9321805891,831.056420306307,25257.8685620751,23825.7833086221,26969.965579363,39.7068072507477,4.96377416735374,39.5773210012479,30.3365550902076,49.7062271884639
"BG","14",225.232918638166,7.64046840840189,224.814811269147,211.675004438251,241.165031874382,18.9720560603996,2.8531794463683,18.6774483074329,13.918634779576,25.0649098764626
"BG","15",1938.0272493478,63.3450093659106,1938.87278317855,1818.61229377478,2073.20435255698,30.3505519991661,3.8381654414154,30.1870587603701,23.3281528519985,38.1337974484573
"BG","16",2645.34251649758,67.9439063667846,2642.58212719129,2520.202769908,2788.90670183387,37.3813074938998,3.57309307401761,37.308037368769,30.4581316790045,44.4047856729646
