"Enzyme","sample","Vmax.boot","Vmax.boot.SE","Vmax.boot.median","Vmax.boot.CIlow","Vmax.boot.CIhigh","Km.boot","Km.boot.SE","Km.boot.median","Km.boot.CIlow","Km.boot.CIhigh","Ki.boot","Ki.boot.SE","Ki.boot.median","Ki.boot.CIlow","Ki.boot.CIhigh","Rmax.boot.mean","Rmax.boot.SE","Rmax.boot.median","Rmax.boot.CIlow","Rmax.boot.CIhigh","SRmax05.boot.mean","SRmax05.boot.SE","SRmax05.boot.median","SRmax05.boot.CIlow","SRmax05.boot.CIhigh"
"NAG","2",5241.4100132685,581.404235738201,5170.20473925242,4309.47388805596,6620.21065462951,185.57107417092,30.7640069466346,181.929867062604,132.791203632831,255.396402615378,1803.65221867356,656.569804083698,1680.89685459057,935.970743737533,3425.37619805947,3127.60565929092,63.5132641752926,3121.20683982368,3012.30384591256,3263.74371393948,80.5201657335282,4.16929784030676,80.3273579760753,72.1509831614542,88.7799616695688
"NAG","3",22296.4878769925,111620.638372942,8125.02952139199,4280.38992912737,112759.914441399,1480.40846748061,8337.55908934556,431.416592338324,177.143272296911,8947.51176439466,1100.01691250252,1796.16682091666,722.716376524913,19.9229265324191,4905.58163542188,3204.90084292053,150.385759711334,3202.62454044624,2897.79183598228,3506.76539624865,111.125563751276,13.4249492233132,110.367670329283,87.9138473562872,140.930594998628
"NAG","4",1972.52025911074,435.128790379919,1879.01067296436,1423.45353527516,3079.94696357917,254.985279818011,77.7644791755155,237.053678992376,151.085431302764,460.124409204977,1301.57684820472,866.074315142788,1146.38918620348,489.576242365498,2949.93798797152,992.893225135601,30.4098844375228,986.540114932425,946.291048571115,1067.15007558115,87.9015952185174,6.28626831839867,88.0384798394358,75.0268332362296,99.3187379833444
"NAG","6",10621.1177490118,2077.4467235995,10337.6627431359,7513.88826597655,15227.0192775451,295.665024558398,78.7004126222733,283.663618206931,182.532473647064,472.627854945256,902.460578618192,341.800796265501,841.62633319818,417.706531137436,1707.5246131473,4777.20937007095,116.381274918851,4788.55065142795,4509.45741043424,4978.46929303648,88.3551639805834,5.16192083258398,87.9638931598706,78.6839710608282,100.076633583884
"NAG","7",4041.427527497,513.806525755774,4004.37001861994,3166.29093370866,5123.78027573898,216.023172843701,41.8077019354317,211.266775959439,147.446162333174,310.971753858194,1918.51767035182,847.88542693027,1734.61636517402,896.433633548971,4094.47562263196,2349.7953029775,46.7237593118556,2350.96061472222,2251.16108669911,2434.56842662336,90.3675221249452,5.2722406540408,89.9484687942168,81.1715320679978,101.570343631693
"NAG","8",13038.2186181672,3581.21970110813,12416.5666177912,8985.94265917845,20512.1260262825,429.687499927885,145.196323451301,404.001390313233,264.620378756873,731.537099441076,528.60441474456,158.006686486368,515.057155961637,252.769610643124,904.878976248423,4486.80981511681,100.262166111232,4486.58661013457,4260.53549544176,4688.57046709824,92.8110928021988,4.31195541048825,92.6796918685956,84.5699332752135,101.97735876298
"NAG","9",7170.79008379546,2259.64370518319,6678.27538213661,4535.97467686863,12935.3873532644,478.974900431343,171.594550955355,441.748450917776,278.929089919327,912.016677073942,102.649377719991,27.9646510060174,101.999391937512,48.5036645399914,159.895271466365,1293.76299622269,24.6624528836503,1293.32565721361,1244.32491901103,1342.72565377622,49.9957696686068,1.66343497213516,50.0630578124123,46.7113785181915,53.2662449860031
"NAG","10",392.5884533559,4472.34883748441,187.311313281118,120.833985991109,419.009089495818,316.76109375467,4375.77187540664,115.634304906468,56.8452321010378,359.568573252527,584.40222903941,356.791715652195,530.998220045922,163.70694585643,1255.46912335859,97.1110599928552,6.28821296815355,97.154594954531,83.983429532696,109.044342884496,41.5865222477506,6.197698480469,41.1342549969748,30.5209515650313,54.8045842722654
"NAG","11",229.815696034591,25.6238968823696,226.350680713882,187.907022527142,289.176104434327,73.0994835476136,14.3628019534892,70.9838901334034,49.7604862767043,106.302741454506,843.632774784667,202.912311856284,816.111332941165,511.693443411074,1323.22354784033,142.887308060725,4.84015513838789,142.491965977021,133.909190829212,152.536768772229,33.4610935368877,2.91384702695839,33.4141442429116,27.7966939064221,39.2495129114201
"NAG","12",18128.7757825034,2033.33787655973,18001.3951047195,14694.0579897748,22770.9298974389,458.739912183939,68.1068414424809,450.290874083796,344.938191723037,613.99355005772,955.514761911292,210.655994467368,928.577776767346,595.927077667808,1435.79066335568,7495.21065161139,81.2252535912444,7505.78997194443,7323.42931219954,7639.06715682093,123.82500937153,3.83554847666103,123.71765751438,116.314081159189,131.510895783002
"NAG","13",44666.4535593165,3258.34152889511,44313.4990220676,39322.4443646685,51832.7009109796,500.614197020675,46.9891514183367,495.790260920464,421.336730238537,605.523922799197,635.355384804905,75.6301888712475,632.379726483636,492.055798833573,786.707135711912,16018.3008535974,111.040773840622,16015.7923038031,15805.2909537009,16254.1116058589,113.873232804072,2.15359648853571,113.90165915957,109.724610866492,117.966571928001
"NAG","14",6171.28336562835,22033.9777484343,2018.99952610691,638.331156339735,24970.7388518718,3352.86232947709,12664.2717108544,1043.00312908078,285.578538621145,14075.2971978737,95.5150533400594,85.0557323022303,77.4242713645859,5.46112192250778,305.902359642112,239.562862545246,9.32849104163371,240.317433743966,218.824804718877,254.846647807312,69.6195343258002,4.26595046014522,69.9952177490643,60.3797130885867,76.5281047389769
"NAG","15",5012.45473675805,360.96016502117,4982.83393254635,4414.03846535109,5830.38781337374,390.328115167591,37.6078864202079,387.055920907424,327.724336523114,474.521057164011,932.519096124414,128.820468238053,926.959483201056,688.504460389035,1196.49472782914,2172.96075838745,17.5800954287538,2172.66474485741,2138.83226540559,2212.07029797863,111.778348404583,2.49298084820718,111.778886665674,106.994343630225,116.802656852895
"NAG","16",9241.33260858668,1346.07122921664,9042.21734481737,7133.25759209585,12466.6858639111,585.579393867994,100.964870804331,571.290452656975,425.144587825047,816.905044486873,361.789666135477,71.0639977154512,358.886105191924,233.884740117575,510.17997993673,2567.83190240484,31.2841590053985,2566.43100079036,2510.26595790236,2631.28455508944,98.966534081135,2.40968392820276,99.095734275572,94.4329381904263,103.803800225622
"NAG","17",10274.7251141488,1004.24230308733,10166.0311804389,8704.72663440808,12721.5765506015,399.418804432519,49.3968509391088,394.924363815922,323.156354552325,510.904384611373,539.204952937048,80.2207015979036,535.9154766905,387.187195044923,708.85226652875,3746.62476702003,42.2734254629511,3741.55320498034,3676.79050572236,3849.42403217104,92.6544605175897,2.18093496326342,92.8375132754306,88.0530229976086,96.6559045548462
"NAG","18",12564.6925626418,949.164164033239,12517.7503068844,10824.6487153361,14643.4471080162,384.796183425362,39.2364272023963,382.790504166302,315.976130568664,471.37075095554,1022.00186015964,160.84254094502,1010.78313073289,733.91177453999,1362.36679348057,5603.89463763866,46.9622319494574,5609.67977025636,5499.37509594222,5690.43170178749,114.158742977405,2.57089235143806,114.0757618601,109.545005268268,119.537495833816
"NAG","19",7033.05519616269,240.176585243309,7010.89678853878,6609.81968724622,7580.55552744374,446.600416305524,19.9574774240713,445.326094751155,411.305275198338,489.504457347021,843.019122391494,53.3522680377593,842.68636358003,734.295385754829,951.302894515119,2860.49728278458,10.208233970845,2860.01806955099,2841.96955209871,2883.12450359484,118.275141391308,1.10688495459549,118.311799658767,115.982344535952,120.39604897918
"NAG","20",12122.6539924584,910.891389880633,12027.400084637,10531.2987632345,14168.5561083278,479.101899118802,46.4157516261839,475.627742511777,393.400991758725,577.607435375867,793.890041718529,105.895794654843,787.387990847234,604.999807354405,1028.14648924806,4721.03295941527,36.877466803877,4715.04258445313,4664.90243035006,4809.54148932312,120.313188607645,2.43781966568865,120.576191600186,114.700397491751,124.677006238365
"NAG","21",6532.88877673707,311.638762794661,6525.00381406867,5944.49257202733,7152.12510132749,424.959558366404,27.2823211776384,424.419759859883,373.807343664544,479.462031828109,1000.19054203603,96.785658357005,993.613827861478,826.868511393412,1214.35236928708,2828.4862906994,14.6652761498628,2829.1346863062,2798.39153035895,2855.83644296341,121.533921649489,1.78500040457191,121.464652390216,118.088830944844,125.165072051489
"NAG","22",3973.28715124007,195.252583613207,3960.7323794842,3580.31536757194,4377.74373367303,352.234796537231,24.1630745196602,349.901294622805,306.553539145244,406.063870721935,1199.11422416444,133.158530325857,1192.79556560016,949.760118142714,1497.80179460873,1900.67704847939,11.2719011292299,1901.84587089338,1874.24944931614,1921.26746660208,114.194849921995,1.94719930841935,114.044688924092,110.808460521025,118.381234984203
"NAG","23",26389.8636431833,884.925154520383,26352.5245272639,24676.686460644,28261.7534020525,393.735588227262,17.9855569003442,393.139168423754,359.835195267853,430.764035635064,1066.75705859443,75.0078127080528,1064.98113989007,926.727155897518,1225.45034920591,11897.7768183087,44.6470899302177,11897.1455968865,11807.1509790434,11990.7710892407,118.451577166944,1.25375334274161,118.424382940134,116.028701054522,120.884812984817
"NAG","24",48851.685804245,2081.23952015058,48720.8247133554,45047.0997619826,53022.7460355438,379.944079376632,21.8989054435686,378.931620302103,338.709269980015,425.962030252225,1096.57230949441,99.7875391557241,1095.65089396269,912.895067777357,1301.6572760346,22387.5482075865,111.251426653287,22385.9065909379,22152.6028884932,22598.1724877697,116.670575461038,1.62148711553849,116.651766893433,113.559947561084,119.936824934054
"NAG","25",13460.5428900983,374.219783773099,13452.7736357017,12750.0287034875,14212.7880601967,412.445838887941,15.2798840769952,411.683835436993,383.613952108638,444.260510540131,878.66610073639,47.0652326594924,876.783922988523,787.954931820066,975.82672981782,5674.17228524231,17.2836824923349,5675.8006679694,5637.81878994482,5706.25378293885,114.137511882675,0.932976438029404,114.102523648342,112.299006414701,116.086392605347
"NAG","26",14063.5206724924,3391.31360397145,13384.8685081415,9683.87763276128,21893.2066130058,516.893675497554,159.395875414366,486.672679863023,313.22897632711,881.430687789744,796.014221059248,293.45808391497,761.627544510736,352.295230699932,1527.19591938239,5157.31070313015,98.0559787456726,5149.56211579266,4969.40968318231,5374.61461386854,120.351100321889,6.13879860660282,120.307258513469,107.755039505259,132.920116260849
"NAG","27",13081.7283712543,1073.87260832451,13013.8766298302,11156.029862571,15511.1653621076,326.656686818359,37.4631844501301,324.762023813137,257.844082335083,409.56869727201,1244.5071541511,246.894105902259,1216.90483011603,838.721373120364,1814.54931664351,6403.13017471596,65.649539743069,6400.87102791044,6272.04002336226,6539.14646417192,109.013009622587,3.1974410281839,108.952997405771,102.473690978061,115.243586170538
"NAG","28",22717.7655677733,1194.24617130771,22639.8666262769,20404.733229638,25259.69624704,349.491662819834,24.2847968857768,347.782412302162,303.575962747158,400.57819571669,693.985336144743,63.9519287631666,693.70920538675,572.904400077852,834.35503600378,9365.32910141263,65.2033107933677,9364.59356419913,9236.01711710329,9494.77120320202,94.081046256309,1.45553472795843,94.0930226243426,91.2461810425941,96.7926137794489
