"Enzyme","sample","RMSE","RMSEp1","RMSEp2","MAPE","MAPEp1","MAPEp2","biasPERCENT","biasPERCENTp1","biasPERCENTp2","biasMEANRES","biasMEANRESp1","biasMEANRESp2","Rsquared","PRSEmax","PRSE_Vmax","PRSE_Km","RMSEp1pdS","MAPEp1pdS","biasPERCENTp1pdS","biasMEANRESp1pdS","Sinhibition","INHbetter_aov_pvalue"
"AP","2",497.079157190244,516.920148553377,355.49286871619,14.8858884941917,16.8600413862032,3.04097114212286,-9.9089994437158,-12.0673278746889,3.04097114212286,-84.1629441865969,-133.280180863019,259.657712548354,0.980598247609372,10.0708130608748,2.98451552001488,10.0708130608748,498.319478548383,18.7091249887395,-13.31667636976,-115.331261790064,TRUE,0.443818246086184
"AP","3",254.665826816058,254.665826816058,NA,17.4003862454529,17.4003862454529,NA,-11.6678340865832,-11.6678340865832,NA,-65.9456228714111,-65.9456228714111,NA,0.983864621578356,9.3781259961612,2.74451397878565,9.3781259961612,254.665826816058,17.4003862454529,-11.6678340865832,-65.9456228714111,FALSE,1
"AP","4",174.227636227197,174.227636227197,NA,12.3295482722968,12.3295482722968,NA,-7.35977093692313,-7.35977093692313,NA,-36.5189731575765,-36.5189731575765,NA,0.986548712942054,7.8597123558932,2.15300081740168,7.8597123558932,174.227636227197,12.3295482722968,-7.35977093692313,-36.5189731575765,FALSE,1
"AP","6",254.385343670466,254.385343670466,NA,21.5935479100593,21.5935479100593,NA,-16.3180296064543,-16.3180296064543,NA,-82.0262603199775,-82.0262603199775,NA,0.988006789472156,9.69158318653251,3.03142420323416,9.69158318653251,254.385343670466,21.5935479100593,-16.3180296064543,-82.0262603199775,FALSE,1
"AP","7",205.650224850361,205.650224850361,NA,22.4059064298553,22.4059064298553,NA,-16.3456063219595,-16.3456063219595,NA,-58.6630565604832,-58.6630565604832,NA,0.979601561361442,11.8824839090296,3.66872630102572,11.8824839090296,205.650224850361,22.4059064298553,-16.3456063219595,-58.6630565604832,FALSE,1
"AP","8",447.343439684131,447.343439684131,NA,22.0775512337368,22.0775512337368,NA,-15.3473082038039,-15.3473082038039,NA,-122.539300874512,-122.539300874512,NA,0.978016007133795,11.7937611278501,3.58063385150987,11.7937611278501,447.343439684131,22.0775512337368,-15.3473082038039,-122.539300874512,FALSE,1
"AP","9",96.6782467077006,93.1367141737614,115.672375884718,2.20062314344956,2.22467599979503,2.05630600537673,-0.203198845894314,-0.523672252933291,1.71964159633955,-2.17490531109039,-12.6854367879608,71.3988150270022,0.996013786804426,3.88557700317417,0.753184210944895,3.88557700317417,90.7087274183051,2.12584083655482,-0.363409307049507,-3.4629690390803,TRUE,0.513518311089372
"AP","10",30.6443146516746,30.6443146516746,NA,4.42482588030854,4.42482588030854,NA,-0.265378984388494,-0.265378984388494,NA,-0.90511072927949,-0.90511072927949,NA,0.987514387643183,7.05194327644033,1.26756479841487,7.05194327644033,30.6443146516746,4.42482588030854,-0.265378984388494,-0.90511072927949,FALSE,1
"AP","11",97.5349019358337,104.461448471353,33.4400114986448,4.26492086706517,4.73654654004901,1.43516682916212,-0.778129043665393,-0.989166646042467,0.488096570597045,-4.36829160116173,-6.40955605548738,9.92055957911786,0.983573531225509,7.85871339658147,1.56459573518373,7.85871339658147,104.41679960873,4.82271301988018,-0.951870429318225,-5.18507330618379,TRUE,1
"AP","12",260.654931483003,260.654931483003,NA,5.49974550496776,5.49974550496776,NA,-3.82704909294827,-3.82704909294827,NA,-37.0923069918297,-37.0923069918297,NA,0.998032430675944,3.16557443271568,0.930897126665918,3.16557443271568,260.654931483003,5.49974550496776,-3.82704909294827,-37.0923069918297,FALSE,0.0190333408254934
